Question,Claude_Answer,Correct_Answer,Is_Correct
자연재해대책법 상 자연재해위험개선지구에 대한 설명으로 옳지 않은 것은?,2,3,False
자연재해대책법 상 중앙행정기관의 장은 자연재해가 발생하거나 발생할 우려가 있는 경우에 신속...,1,2,False
"자연재해대책법 시행규칙 상 풍수해피해예측시스템의 구축․운영과 관련하여, ㉠ ～ ㉢에 들어갈...",3,3,True
자연재해대책법 시행령 상 우수유출저감대책을 수립해야 되는 건축 협의 대상의 기준으로 옳은 ...,4,4,True
자연재해대책법령상 우수유출저감시설에 대한 설명으로 옳지 않은 것은?,2,2,True
재해경감을 위한 기업의 자율활동 지원에 관한 법령상 기업의 재해경감활동계획 등에 대한 조사...,3,3,True
재해경감을 위한 기업의 자율활동 지원에 관한 법률 상 재해경감 활동계획 수립 대행자에 대하...,4,3,False
지진․화산재해대책법령상 내진대책에 대한 설명으로 옳지 않은 것은?,4,4,True
지진·화산재해대책법 상 예방과 대비에 대한 설명으로 옳지 않은 것은?,3,3,True
지진·화산재해대책법상 지진·지진해일 및 화산활동 관측에 대한 설명으로 옳지 않은 것은?,2,1,False
비구조적 재난경감 방법에 해당하는 것만을 모두 고르면?\nㄱ. 범람원 보호\nㄴ. 건물방수...,2,2,True
국토의 계획 및 이용에 관한 법령상 도시․군관리계획의 입안을 위한 토지적성평가를 실시하지 ...,4,4,True
산업안전보건법 상 사업주가 사업장에 안전 및 보건에 관하여 사업주를 보좌하고 관리감독자에게...,4,4,True
재난관리방식 중 통합관리방식의 특징에 해당하는 것만을 모두 고르면?\n\nㄱ. 과도한 부담...,2,2,True
연구실 안전환경 조성에 관한 법률 상 연구실 소속 연구활동종사자를 직접 지도․관리․감독하는...,2,2,True
위험물안전관리법 시행령 상 위험물의 유별과 품명을 옳게 짝지은 것은?,1,3,False
재난 및 안전관리 기본법 시행령 상 재난취약시설 보험․공제의 가입 등에 대한 설명으로 옳지...,3,1,False
"중대재해 처벌 등에 관한 법률 상 특정 원료 또는 제조물, 공중이용시설 또는 공중교통수단의...",2,2,True
계획단위개발(PUD: Planned Unit Development)에 대한 설명으로 옳지 ...,2,2,True
OJT(On the Job Training) 대비 OFF-JT(Off the Job Tra...,4,4,True
물 소화약제의 소화효과에 해당하지 않는 것은?,4,4,True
우리나라 소방조직의 변천 과정을 시기순으로 바르게 나열한 것은?,API_ERROR,1,False
가축전염병예방법 에 따른 가축전염병의 확산으로 국민의 재산에 피해가 발생하는 경우를 포함하...,3,3,True
하인리히(H. W. Heinrich)의 재해손실비 산정 방식은?,1,1,True
재난 및 안전관리 기본법 상 재난의 복구 단계 활동에 해당하는 것은?,2,2,True
범죄예방환경설계(CPTED: Crime Prevention through Environme...,2,2,True
스웨인(A. D. Swain)의 인적오류(Human error) 중 작업 수행과정에 필요한...,3,3,True
폭연과 폭굉에 대한 설명으로 옳지 않은 것은?,3,3,True
맑은 여름날에 대기 하부층의 공기가 가열되어 높이 상승할 때 내리는 강수는?,1,1,True
지진·태풍과 크기 평가 방법을 짝 지은 것으로 옳지 않은 것은?,4,4,True
도시공원 및 녹지 등에 관한 법령상 녹지설치기준으로 옳은 것은?,3,4,False
무재해 운동의 3원칙에 해당하지 않는 것은?,4,4,True
"자연재해대책법 상 정의에 대한 내용으로 (가), (나)에 들어갈 말을 바르게 연결한 것은?...",4,1,False
작업자의 신체부위가 위험한계 내로 들어오면 이를 감지하여 기계를 정지시키는 방호장치는?,3,3,True
"지진·화산재해대책법 시행령 상 지진가속도계측 대상 건축물로 (가), (나)에 들어갈 내용을...",1,4,False
SUMMARY - Model: claude-opus-4-1-20250805,Final Accuracy: 84.6%,Correct: 252/298,"Total Questions: 300, API Errors: 2"
