Question,option 1,option 2,option 3,option 4,Answer,Model Response,Is Correct (O/X)
재해연보에의거한 과거에 발생한 재해이력 현황조사시 필요없는 항목은?,이재민,구호품,침수면적,농작물,2,2,O
재난 및 안전관리 기본법령상 재난의 대응 활동에 해당하는 것은?,긴급통신수단 확보,위기경보의 발령,안전점검,특별재난지역 선포,2,2,O
다음중 피해주기와 홍수빈도율에 대한 설명으로 옳은 것을 모두 고른 것은?\n\nㄱ. 피해주기의 단위는 년/회로 표시한다.\nㄴ. 피해주기는 재해연보 자료를 활용하여 5년 평균값을 적용한다.\nㄷ. 홍수빈도율과 피해주기는 비례한다.\nㄹ. 홍수빈도율은 재산피해액 산정시 적용한다.,"ㄱ, ㄴ","ㄷ, ㄹ","ㄱ, ㄹ","ㄴ, ㄷ",3,3,O
방재성능 향상을 위한 통합 개선대책 사업의 시행계획 수립방법으로 옳은 것은?,"방재시설의 경제성, 시공성 등을 고려한 연차별 정비계획을 수립한다.",사업비가 작은 사업을 우선 시행할 수 있도록 수립한다.,주민 숙원사업을 우선으로 시행한다.,피해발생빈도가 잦은 순으로 시행한다.,1,1,O
사면보강공법 중 저항력 증가법이 아닌 것은?,앵커공법,네일공법,압성토공법,억지말뚝공법,3,3,O
재해지도 작성 기준등에 관한 지침상 대피장소 설치의 일반적인 기준은?,보행거리로부터 1km이내,보행거리로부터 2km이내,보행거리로부터 3km이내,보행거리로부터 5km이내,1,2,X
재난 및 안전관리 기본법령상 다중이용시설등의 위기상황 매뉴얼을 작성·관리하여야 하는 대상으로 명시되지 않는 자는?,관리자,소유자,설계자,점유자,3,3,O
다차원 홍수피해산정방법(MD-FDA)을 이용한 이재민 피해액 산정식에서 ( )에 알맞은 단어는?\n\n이재민피해액 = 침수면적당발생이재민(명/hr) × 대피일수(일) × ( ) × 침수면적,주거지역 침수편입률,소비자물가지수,건축형태별 연면적비율,일평균 국민소득,4,3,X
산지 토석류 유출로 우수관거가 막혀 침수피해가 발생하였을 때 복합재해 유형은?,토사재해-내수재해,사면재해-하천재해,하천재해-토사재해,내수재해-해안재해,1,1,O
재해복구사업의 분석∙평가 시행지침상 재해복구사업의 분석∙평가에 관한 사항으로 틀린 것은?,분석∙평가시 지역경제발전성평가를 수행하여야한다.,시∙군∙구청장은 복구사업관련자료를 활용하여 분석평가를 실시하여야 하며 업무대행은 불가하다.,분석평가결과의 적정성에 관한 사전검토 및 실무적인 자문을 위하여 시∙군 ∙구에 분석평가위원회를 둔다.,"시∙군∙구청장은 분석평가를 완료한 경우에는 30일 이내에 특별시장, 광역시장, 도지사, 특별자치도를 거쳐 행정안전부 장관에게 최종 평가결과를 제출하여야한다.",2,2,O
도시∙군계획시설의 결정∙구조 및 설치기준에 관한 규칙상 방풍설비로 방풍림시설을 설치하지 않는 것은?,대규모 구역을 대상으로하는 방풍설비,해안에 접한지역에 설치하는 방풍설비,독립된 단위시설을 대상으로 설치하는 방풍설비,연안침식이 심각하거나 우려되는 지역 및 방재지구,3,1,X
자연재해대책법령상 지구단위종합복구계획수립 대상 지역에 해당하지 않는 것은?,어촌·어항법에 따른 항로표지등 항행보조시설의 일괄복구가 필요한지역,산사태 또는 토석류로 인하여 하천유로변경등이 발생한지역으로서 근원적 복구가 필요한 지역,피해 재발방지를 위하여 기능복원보다는 피해지역 전체를 조망한 예방·정비가 필요하다고 인정되는 지역,도로·하천등의 시설물에 복합적으로 피해가 발생하여 시설물별 복구보다는 일괄 복구가 필요한 지역,1,1,O
"면적 0.54km$^2$,유출계수 0.65인유역의 2시간동안 확률강우량 200mm를 배제 할 수 있는 배수통관의 단면적(m$^2$)은?\n\n• 홈수량 산정방법:합리식\n• 배수통관내 유속: 2.5m/s\n• 강우배제: 2시간\n• 토사유입에따른 배수단면적 감소를 고려한 여유율: 20%",3.9,4.68,9.36,16.85,2,3,X
급경사지 재해예방에 관한 법령상 붕괴위험지역의 계측관리에 관한 설명으로 틀린 것은?,행정안전부장관은 상시계측관리의 결과등을 고려하여 주민대피를 위한 관리기준을 제정·운영하여야 한다.,관리기관은 붕괴위험지역 지반의 위치변화를 사전에 감지하기 위하여 상시계측관리를 할 수 있다.,관리기관은 직접 상시계측관리를 하거나 대행하게 하는 경우에는 계측자료를 관할 시장·군수·구청장에게 실시간으로 제공하여야 한다.,시장·군수·구청장은 제공받은 계측자료와 자체의 계측자료를 활용하여 긴급상황이 발생하는 때에는 신속히 해당지역주민을 대피시켜야한다.,1,2,X
"방재시설 피해현장 지반조사 중 지층의 분포, 층두께, 단층 파쇄대의 심도 및 규모, 원지반의 풍화상태, 흙의 연 경도, RQD,절리면의 상태,지하수위 상황등을 확인하는 지반조사는?",시추조사,물리탐사,원위치시험,시험굴조사,1,4,X
다음 설명은 비탈면 보호공법 중 어느 공법에 해당되는가?\n\n- 암반 비탈면에 많이 시공\n- 보강재를 암반에 삽입하여 원지반 전단강도를 증대시키는 공법,록볼트,계단식 옹벽,비탈면 경사완화,쏘일네일링,1,1,O
하천 현황조사시 포함되어야 할 사항이 아닌 것은?,하천유역의 토양 현황,"하천명, 하천등급, 시·종점에 관한 사항",하천홍수 범람에 따른 위험 지역에 관한 사항,하천과 관련된 수공 구조물 및 횡단 시설물에 관한사항,1,1,O
하천제방의 유하 능력에 여유를 확보하기 위하여 여유고를 더 높게 하는경우에 해당하지 않는 것은?,상류부가 황폐되어 있는 경우,유출 토사가 다량으로 퇴적할 염려가 있는 하천,제외지에 중요한 시설이 있을경우,만곡 하천의 요안(凹岸)부,3,1,X
농경지 피해액 산정시 논과 밭의 침수심 경계선 높이는 몇m인가?,0.5m,1.0m,1.5m,2.0m,2,2,O
호우경보 발령 기준으로 옳은 것은?,3시간 강우량이 60mm 이상 예상될 때,3시간 강우량이 90mm 이상 예상될 때,12시간 강우량이 110mm 이상 예상될 때,12시간 강우량이 150mm 이상 예상될 때,2,1,X
빗물 배수펌프장의 용량부족에 의해 발생하는 내수침수의 해소대책이 아닌 것은?,빗물 배수펌프 증대,유수지 증대,고지배수로 설치,빗물 배수펌프장 유입관로 증대,4,3,X
조건을 활용할 때 침사지 유량(m$^3$/s)은?\n\n[조건]\n• 침사지 폭: 8m\n• 침사지 길이: 15m\n• 침사지 수심: 5m\n• 침전시간: 40초,8,12,15,17,3,1,X
자연재해위험개선지구 관리지침상 피해액 산정시 도시유형별 구분에서 인구 100만명 미만의 일반 시급 도시에 해당하는 것은?,대도시,중소도시,전원도시,농촌지역,2,2,O
하천설계기준상 하천 제방고 결정을 위한 여유고에 대한 설명으로 틀린 것은?,계획홍수량이 200m$^3$/s 미만인 경우에는 여유고를 0.6m 이상으로 한다.,계획홍수량이 10000m$^3$/s 이상인 경우에는 여유고를 2.0m 이상으로 한다.,굴입하도에서는 계획홍수량이 500m$^3$/s이상인 경우에 여유고를 0.8m 이상으로 한다.,계획홍수량이 50m$^3$/s이하이고 제방고가1.0m 이하인 하천에서는 여유고를 0.3m 이상으로 한다.,3,3,O
사면보호시설 중 다음은 어떤옹벽에 관한 설명인가?\n\n- 사면활동 억제와 낙석방지를 기대할 수 있는 공법 \n- 앵커와 병행시공 시 높은 안정성을 가지며 구조해석상 높은 압축력이 벽체에 전달되는 경우 철근 배근을 고려하여 균열발생방지 \n지하수에 의한 수압발생이 우려되는 경우 수발공을 설치,의지식 옹벽,중력식 옹벽,낙석방지용 옹벽,계단식 옹벽,4,2,X
하천에 설치되는 시설물중 제방 및 호안의 재해취약요인의 설명으로 틀린 것은?,견간장: 계획 홍수량에 대한 검토,비탈경사: 비탈 경사가 급한 정도,소류력: 호안 재료의 허용 소류력 적합여부,제방고: 계획 홍수위에서 계획홍수량 규모별로 여유고 기준에 적합한지의 여부,1,1,O
방재시설의 유지∙관리 평가항목∙기준 및 평가방법 등에 관한 고시상 행정안전부장관이 재난책임기관장의 유지관리를 평가해야 하는 방재시설이 아닌 것은?,소하천시설 중 수문,도로시설 중 공동구,어항시설 중 물양장,하천시설 중 관측시설,3,3,O
집중호우 시 유출토사를 인위적으로 퇴적시켜 유입을 억제하는 침사지 시설의 구성요소가 아닌 것은?,침전부,홍수조절부,자연배수부,퇴사저류부,3,3,O
자연재해저감 종합계획 세부수립기준상 인문현황에 관한 사항으로 틀린 것은?,"인문현황에는 인구현황, 산업현황, 문화재현황 등을 기술한다.",인구현황 조사중 재해취약인구는 만18세 미만의 청소년과 만65세 이상의 노인을 포함한다.,산업현황은 산업체의 현황 및 분포를 제시하여 인명피해 및 재산피해 예상 활용한다.,인문현황 조사는 자연재해 발생원인과 피해규모에 영향을 미치는 인문적인 요인을 조사∙분석하여 위험지구 선정 및 저감대책 수립의 기초자료로 활용할수있도록 수행되어야한다.,2,2,O
지형현황 조사를 위한 분석항목에 해당하지 않는 것은?,지질분석,표고분석,질·성토 사면분석,경사분석,1,3,X
자연재해 저감대책 수립 시 공간적 구분의 순서로 맞는 것은?,위험지구단위 → 수계단위 → 전 지역단위,전 지역단위 → 수계단위 → 위험지구단위,수계단위 → 위험지구단위 → 전 지역단위,전 지역단위 → 위험지구단위 → 수계단위,2,1,X
대규모 복합재난 대응훈련 기본지침상 도상훈련에 관한 설명으로 틀린것?,"대표적인 도상훈련 참여자는 복합재난 대응훈련준비단의 구성원들로 주관기관 훈련부서,유관기관 훈련실무자, 고위직 공무원등이다.","보통 도상훈련은 개념의 이해를 돕고, 장단점을 식별하며, 태도의 변화를 이끌어내기 위한 목적으로 실행한다.",훈련주관 기관장이 소속기관 등의 직원에게 핵심적인 주요과제를 사전에 부여하여 실시한다.,도상훈련방법은 기본과정과 전문과정이 있다.,3,1,X
사면재해 피해저감을 위한 보호공법적용으로 틀린 것은?,성토사면에 씨드스프레이 공법을 적용하였다.,절토사면에 씨드스프레이 공법을 적용하였다.,암반사면에 철망을 설치하고 녹생토(건식)공법을 적용하였다.,암반사면에 줄떼와 평떼공법을 병행하여 적용하였다.,4,2,X
자연재해저감종합계획 수립시 연도별 피해현황 조사항목으로 틀린 것은?,연도별 시설물별 피해액 현황,연도별 시설물별 복구비 현황,연도별 피해시설의 종류,연도별 연강수량,4,4,O
빗물펌프장의 용량부족으로 인한 침수발생 시 개선대책이 아닌 것은?,하수관거 신규설치,빗물펌프의 용량 증설,빗물펌프장과 연결된 유수지역 용량 증설,고지배수로 설치에 따른 고지 및 저지유역분리,1,4,X
재난 및 안전관리 기본법령상 다중이용시설 등의 위기상황 매뉴얼에 따라 주기적 훈련의 의무를 가지는 사람은?,"소유자, 관리자, 점유자",행정안전부장관,재난관리주관기관장,"시장, 군수, 구청장",1,1,O
"긴급보수를 위하여 대량의 콘크리트를 연속해서 타설할 경우, 이미 친콘크리트가 경화를 시작한 후 그 위에 타설한 콘크리트 일체가 되지 않고 불연속상태로 된다. 이 불연속면의 명칭은?",시공이음,신축이음,수축이음,콜드 조인트,4,4,O
방재시설 지반계측계획 수립시 계측위치의 선정조건과 가장 거리가 먼 것은?,주변에 특수시설이 있는 지점,설계와 시공면에서 대표적인 지점,비교적 단순하고 대표적인 지반상태를 갖는 지점,기기의 설치와 계측이 용이하며 공사에 지장을 적게 주는 지점,1,1,O
자연재해대책법령상 방재시설의 정기적인 유지·관리 평가는 연 몇회 실시하는가?,1회,2회,3회,4회,1,2,X
방재성능 개선대책 수립시 고려하여야하는 방재시설물의 특성에 관한 설명으로 틀린 것은?,기능성이란 방재시설물이 재해경감에 어떠한 기능과 역할을 담당하고 있는 지를 분석∙평가하는 것이다.,"안정성이란 재해로 인한 안전확보여부 및 재해재발방지여부를 정성적, 정량적으로 평가하는 것이다.","시공성이란 방재시설물에 최적화된 기획, 설계, 유지관리등에 이르기 위한 시공능력을 평가하는 것이다.",경제성이란 방재시설물의 붕괴시 인명∙재산등의 돌이킬 수 없는 피해가 따르므로 가능한 한 재해복구비용을 감소시킬수 있는 정도를 평가하는 것이다.,4,3,X
조건을 활용하였을 때 원단위법에 의한 연간 토사유출량(m$^3$/year)은?\n\n[조건]\n• 유역면적 5km$^2$\n• 토사유출 원단위: 2m/ha/year,10,100,500,1000,4,2,X
"재해복구사업의 효과성, 경제성을 평가하는 경우 포함해야하는 사항이 아닌 것은?",지역경제의발전성,신기술의적용성,지역주민생활환경쾌적성,재해저감성,2,4,X
일반자산의 총 직접피해액 산출 시 고려되지 않는 것은?,연평균피해액,일반자산피해액,인명피해액,일반자산 피해액에 대한 공공시설물의 비율,1,3,X
자연재해위험개선지구 관리지침상 다차원법의 농작물 피해액 산정에 필요한 요인이 아닌 것은?,침수심,매몰지역(m$^2$),농작물자산가치(원),침수시간별 피해율(%),2,3,X
"표와 같이 소유역 Ⅰ,Ⅱ,Ⅲ 으로 나누어진 유역면적과 유출계수를 가진유역의 전체 홍수량을 평균 유출계수를 계산하여 합리식으로 산정한 값은 얼마인가? (단, 유역의 평균강우강도 = 100 mm/hr이다.)\n\n| 소유역 | 면적(km$^2$) | 유출계수 |\n|---------|----------|----------|\n| I | 1.0 | 0.5 |\n| II | 0.6 | 0.7 |\n| III | 0.4 | 0.9 |",17.78m$^3$/s,19.45m$^3$/s,85.56m$^3$/s,38.90m$^3$/s,3,2,X
재해복구사업 분석 및 평가에서 재해저감성평가에 관한 설명으로 틀린것은?,"평가대상 유역 또는 수계단위, 지구단위로 평가를 한다.",복구사업의 적절성 및 재해저감효과에 대해 평가한다.,"복구사업으로 인한 단기효과와 중,장기 효과를 평가한다.","지구단위로 하천재해,토사재해, 사면재해,연안해재,바람재해 기타재해 등에 대해 평가한다.",3,1,X
소규모 개발사업의 우수유출저감시설 계획에서 개발에 따른 불투수면적이 12000m$^2$이 증가되었다 개발에 따른 유출량(m$^3$)은?,120,600,1200,6000,2,3,X
"사방사업법령상 사방시설의 점검에 관한 사항으로 ( )에 알맞은 기준은?\n\n사방시설의 정기점검은 1년에 1회이상 실시한다 다만, 준공 후 5년 이상 10년 미하이 기간이 지난 사방시설의 경우에는 ( )년마다 실시할수 있다.",1,2,3,5,2,3,X
시설물의 안전 및 유지관리에 관한 특별법령상 각 안전등급의 정밀안전진단 실시 시기로 옳은 것은?,A등급: 3년에 1회이상,B등급: 4년에 1회이상,C등급: 5년에 1회이상,D등급: 6년에 1회이상,3,1,X
,,,,,,정답률: 47.06%,사용 모델: exaone-4.0.1-32b
